,method,psnr,ssim,image,sigma
1,tensor_train_stacked,23.335260320644892,0.6548208498554439,Splash,60.0
2,tensor_train_stacked_upscale,23.85237277302793,0.6736095846057015,Splash,60.0
3,noisy_blurred,24.464546682726564,0.6923989265220137,Splash,60.0
0,noisy,12.88178090184318,0.061867897726751366,Splash,70.0
1,tensor_train_stacked,22.933658301274193,0.6398600609175324,Splash,70.0
2,tensor_train_stacked_upscale,23.198256504897646,0.6628335758758971,Splash,70.0
3,noisy_blurred,23.43041640570973,0.6640933821100733,Splash,70.0
0,noisy,11.978913443303243,0.05258026226149492,Splash,80.0
1,tensor_train_stacked,22.1714815057331,0.6183780052429743,Splash,80.0
2,tensor_train_stacked_upscale,22.324966853675544,0.6434960815062326,Splash,80.0
3,noisy_blurred,22.369844066335727,0.6362298788881834,Splash,80.0
0,noisy,11.213319747717785,0.0450107844990171,Splash,90.0
1,tensor_train_stacked,21.265827415114412,0.6020053690948396,Splash,90.0
2,tensor_train_stacked_upscale,21.369071045068978,0.628279519869896,Splash,90.0
3,noisy_blurred,21.340902089239506,0.6105456449882447,Splash,90.0
0,noisy,10.573630795477222,0.039840020158766136,Splash,100.0
1,tensor_train_stacked,20.441992073360183,0.5822203642406728,Splash,100.0
2,tensor_train_stacked_upscale,20.52284240040629,0.6098118007996122,Splash,100.0
3,noisy_blurred,20.471080747173648,0.5869657885918019,Splash,100.0
